region,time,spei_true,spei_pred_persistence
SADC,2018-09-01,-0.3363649845123291,-0.46620118618011475
SADC,2018-10-01,-0.4316292405128479,-0.3363649845123291
SADC,2018-11-01,-0.4196961224079132,-0.4316292405128479
SADC,2018-12-01,-0.42993223667144775,-0.4196961224079132
SADC,2019-01-01,-0.3388212025165558,-0.42993223667144775
SADC,2019-02-01,-0.21151818335056305,-0.3388212025165558
SADC,2019-03-01,-0.16067741811275482,-0.21151818335056305
SADC,2019-04-01,0.010942400433123112,-0.16067741811275482
SADC,2019-05-01,0.023605167865753174,0.010942400433123112
SADC,2019-06-01,0.015221459791064262,0.023605167865753174
SADC,2019-07-01,-0.6662347912788391,0.015221459791064262
SADC,2019-08-01,-1.1552702188491821,-0.6662347912788391
SADC,2019-09-01,-1.0602349042892456,-1.1552702188491821
SADC,2019-10-01,-0.7653963565826416,-1.0602349042892456
SADC,2019-11-01,-0.5443145632743835,-0.7653963565826416
SADC,2019-12-01,-0.3023605942726135,-0.5443145632743835
SADC,2020-01-01,0.037579819560050964,-0.3023605942726135
SADC,2020-02-01,0.2731011211872101,0.037579819560050964
SADC,2020-03-01,0.1809101700782776,0.2731011211872101
SADC,2020-04-01,0.05627577006816864,0.1809101700782776
SADC,2020-05-01,-0.20325468480587006,0.05627577006816864
SADC,2020-06-01,-0.21054121851921082,-0.20325468480587006
SADC,2020-07-01,-0.43466490507125854,-0.21054121851921082
SADC,2020-08-01,-0.2663397789001465,-0.43466490507125854
SADC,2020-09-01,-0.19933553040027618,-0.2663397789001465
SADC,2020-10-01,-0.1288917511701584,-0.19933553040027618
SADC,2020-11-01,-0.131158247590065,-0.1288917511701584
SADC,2020-12-01,-0.0010437201708555222,-0.131158247590065
SADC,2021-01-01,0.20474615693092346,-0.0010437201708555222
SADC,2021-02-01,0.2586151361465454,0.20474615693092346
SADC,2021-03-01,0.17780701816082,0.2586151361465454
SADC,2021-04-01,-0.10194123536348343,0.17780701816082
SADC,2021-05-01,-0.3150589168071747,-0.10194123536348343
SADC,2021-06-01,-0.3605460524559021,-0.3150589168071747
SADC,2021-07-01,-0.3464360535144806,-0.3605460524559021
SADC,2021-08-01,-0.28730127215385437,-0.3464360535144806
SADC,2021-09-01,-0.4445990025997162,-0.28730127215385437
SADC,2021-10-01,-0.1940065622329712,-0.4445990025997162
